SUBJECT,L1per_lo-hi,L1sem_lo-hi,L2per_lo-hi,L2sem_lo-hi,gender,AoA_L2,age,bestL1,bestL2,interL1,interL2,selfperceptionL1,selfperceptionL2,expoL1,expoL2,ID,region
020EB,0.03610000000000001,-0.115,0.14579999999999999,0.132,2.0,2.0,25.0,75.0,61.0,5.0,4.0,9.0,9.0,55.0,26.67,1897.0,triangularis
021EB,-0.0564,0.13069999999999998,0.3176,0.07880000000000001,2.0,2.0,25.0,75.0,61.0,5.0,4.0,10.0,8.0,55.0,26.67,4189.0,triangularis
023EB,0.031400000000000004,0.0011999999999999997,0.16240000000000002,0.2449,2.0,0.0,35.0,77.0,74.0,5.0,3.0,10.0,8.0,65.0,26.67,1720.0,triangularis
024EB,0.0807,0.1451,0.19840000000000002,0.38880000000000003,1.0,2.0,29.0,77.0,58.0,5.0,4.0,10.0,9.0,76.67,23.33,3122.0,triangularis
02EB,-0.13939999999999997,0.3357,0.3756,0.5903,1.0,0.0,23.0,77.0,70.0,5.0,5.0,10.0,8.0,63.33,18.33,2138.0,triangularis
030LBB,-0.009100000000000004,-0.0802,0.14179999999999998,0.3327,1.0,8.0,22.0,75.0,65.0,5.0,5.0,10.0,9.0,55.0,37.5,2519.0,triangularis
032LBB,0.005099999999999993,0.0628,0.2465,0.176,1.0,8.0,23.0,77.0,74.0,5.0,5.0,10.0,9.0,68.33,30.0,2860.0,triangularis
033LBB,0.0005999999999999998,0.0703,-0.03609999999999999,0.11860000000000001,1.0,26.0,37.0,77.0,45.0,5.0,4.0,9.0,8.0,60.0,3.0,3033.0,triangularis
034LBB,0.0174,-0.0010000000000000009,0.0421,0.26,2.0,6.0,24.0,77.0,72.0,5.0,3.0,10.0,7.0,83.33,20.0,292.0,triangularis
035LBB,-0.0995,0.0908,0.4991,0.5339,1.0,14.0,44.0,77.0,77.0,5.0,5.0,10.0,8.0,60.0,38.33,3088.0,triangularis
036LBB,0.1044,0.1657,-0.3233,0.2147,1.0,7.0,22.0,72.0,68.0,5.0,4.0,10.0,8.0,55.0,37.5,2518.0,triangularis
037LBB,0.07970000000000001,0.058800000000000005,0.2573,0.3462,2.0,24.0,39.0,75.0,55.0,5.0,4.0,10.0,7.0,80.0,15.0,531.0,triangularis
038LBB,0.0335,0.0934,0.279,0.4763,1.0,16.0,37.0,77.0,77.0,5.0,5.0,10.0,8.0,68.33,25.0,1092.0,triangularis
039LBB,0.11610000000000001,-0.003500000000000003,0.1012,0.2474,2.0,9.0,25.0,77.0,65.0,5.0,4.0,10.0,7.0,95.0,5.0,3046.0,triangularis
040LBB,0.0547,0.042800000000000005,0.13169999999999998,0.0356,2.0,9.0,28.0,77.0,54.0,5.0,4.0,10.0,8.0,81.67,13.33,1427.0,triangularis
041LBB,0.07050000000000001,0.1416,0.1033,0.116,2.0,6.0,25.0,77.0,48.0,5.0,4.0,8.0,6.0,67.5,15.0,3096.0,triangularis
043LBB,-0.046,-0.07250000000000001,0.1666,0.3355,1.0,7.0,21.0,77.0,64.0,5.0,5.0,8.0,8.0,42.5,42.5,3054.0,triangularis
044LBB,-0.1301,-0.0718,0.3246,0.020200000000000003,1.0,6.0,25.0,75.0,55.0,5.0,4.0,9.0,8.0,70.0,30.0,2738.0,triangularis
045LBB,-0.013900000000000003,-0.03519999999999999,0.1346,0.15819999999999998,1.0,22.0,42.0,77.0,70.0,5.0,4.0,10.0,7.0,75.0,15.0,1709.0,triangularis
046LBB,-0.007100000000000009,0.0897,0.2924,0.4224,1.0,22.0,41.0,77.0,55.0,5.0,4.0,10.0,8.0,67.5,32.5,2299.0,triangularis
047LBB,-0.005699999999999983,0.10049999999999998,0.4496,0.5865,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,65.0,25.0,3501.0,triangularis
04EB,0.0024999999999999953,0.12350000000000001,0.2401,0.4712,1.0,3.0,22.0,76.0,53.0,5.0,4.0,10.0,8.0,78.33,16.67,3770.0,triangularis
05EB,0.06559999999999999,0.0505,0.2855,0.4304,2.0,3.0,22.0,76.0,53.0,5.0,4.0,10.0,9.0,75.0,18.33,3920.0,triangularis
06EB,0.06390000000000001,0.0611,0.10320000000000001,0.0911,1.0,0.0,20.0,77.0,73.0,5.0,5.0,9.0,7.0,67.5,32.5,3053.0,triangularis
07EB,-0.3146,-0.08290000000000002,-0.010099999999999998,0.26890000000000003,1.0,5.0,25.0,77.0,70.0,5.0,5.0,9.0,8.0,62.5,32.5,4245.0,triangularis
09EB,0.0375,0.07150000000000001,0.1839,0.2116,2.0,3.0,34.0,77.0,70.0,5.0,5.0,9.0,7.0,70.0,21.67,3291.0,triangularis
010EB,-0.06310000000000002,0.0504,0.047499999999999994,-0.1211,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,58.33,35.0,3501.0,IPC
011EB,-0.09570000000000001,0.097,0.2994,0.28400000000000003,1.0,0.0,33.0,77.0,65.0,5.0,4.0,8.0,6.0,98.33,1.67,439.0,IPC
015EB,-0.1513,-0.0976,-0.17099999999999999,-0.21910000000000002,2.0,0.0,22.0,74.0,60.0,5.0,5.0,10.0,10.0,53.33,36.67,2218.0,IPC
016EB,-0.0887,0.0327,-0.008899999999999991,0.2139,2.0,2.0,20.0,77.0,71.0,5.0,4.0,9.0,8.0,60.0,42.0,3789.0,IPC
017EB,0.0415,0.03569999999999998,0.3201,0.4065,1.0,2.0,21.0,77.0,72.0,5.0,4.0,10.0,8.0,51.67,38.33,4481.0,IPC
018EB,0.1046,-0.07440000000000001,0.318,0.3609,1.0,3.0,22.0,71.0,68.0,5.0,5.0,10.0,10.0,83.33,15.0,2799.0,IPC
01EB,0.1508,-0.0725,0.0822,0.13679999999999998,2.0,1.0,36.0,77.0,60.0,5.0,4.0,8.0,7.0,65.0,13.33,1417.0,IPC
020EB,0.17830000000000001,-0.1179,0.1722,0.0055,2.0,2.0,25.0,75.0,61.0,5.0,4.0,9.0,9.0,55.0,26.67,1897.0,IPC
021EB,-0.126,0.05440000000000001,0.2679,0.0565,2.0,2.0,25.0,75.0,61.0,5.0,4.0,10.0,8.0,55.0,26.67,4189.0,IPC
023EB,0.0756,-0.0677,0.12769999999999998,0.0259,2.0,0.0,35.0,77.0,74.0,5.0,3.0,10.0,8.0,65.0,26.67,1720.0,IPC
024EB,0.0434,0.034399999999999986,0.3518,0.3929,1.0,2.0,29.0,77.0,58.0,5.0,4.0,10.0,9.0,76.67,23.33,3122.0,IPC
02EB,-0.1452,0.22790000000000002,0.22649999999999998,0.2956,1.0,0.0,23.0,77.0,70.0,5.0,5.0,10.0,8.0,63.33,18.33,2138.0,IPC
030LBB,-0.1116,-0.1199,0.2397,0.19369999999999998,1.0,8.0,22.0,75.0,65.0,5.0,5.0,10.0,9.0,55.0,37.5,2519.0,IPC
032LBB,-0.0826,0.004899999999999995,0.3468,0.2845,1.0,8.0,23.0,77.0,74.0,5.0,5.0,10.0,9.0,68.33,30.0,2860.0,IPC
033LBB,-0.024499999999999997,0.08030000000000001,0.1605,0.37029999999999996,1.0,26.0,37.0,77.0,45.0,5.0,4.0,9.0,8.0,60.0,3.0,3033.0,IPC
034LBB,0.03949999999999999,0.028,0.10569999999999999,-0.08249999999999999,2.0,6.0,24.0,77.0,72.0,5.0,3.0,10.0,7.0,83.33,20.0,292.0,IPC
035LBB,-0.0335,0.001899999999999985,0.38649999999999995,0.3167,1.0,14.0,44.0,77.0,77.0,5.0,5.0,10.0,8.0,60.0,38.33,3088.0,IPC
036LBB,0.06659999999999999,0.1832,0.1721,0.367,1.0,7.0,22.0,72.0,68.0,5.0,4.0,10.0,8.0,55.0,37.5,2518.0,IPC
037LBB,0.09889999999999999,-0.014300000000000007,0.2606,0.4903,2.0,24.0,39.0,75.0,55.0,5.0,4.0,10.0,7.0,80.0,15.0,531.0,IPC
038LBB,-0.039799999999999995,-0.022,0.23610000000000003,0.2942,1.0,16.0,37.0,77.0,77.0,5.0,5.0,10.0,8.0,68.33,25.0,1092.0,IPC
039LBB,0.07250000000000001,-0.03090000000000001,0.029700000000000004,0.10160000000000001,2.0,9.0,25.0,77.0,65.0,5.0,4.0,10.0,7.0,95.0,5.0,3046.0,IPC
040LBB,0.17099999999999999,-0.006599999999999995,0.0475,0.1837,2.0,9.0,28.0,77.0,54.0,5.0,4.0,10.0,8.0,81.67,13.33,1427.0,IPC
041LBB,0.0416,0.032600000000000004,0.2141,-0.12890000000000001,2.0,6.0,25.0,77.0,48.0,5.0,4.0,8.0,6.0,67.5,15.0,3096.0,IPC
043LBB,0.0549,-0.2334,0.09720000000000001,-0.049699999999999994,1.0,7.0,21.0,77.0,64.0,5.0,5.0,8.0,8.0,42.5,42.5,3054.0,IPC
044LBB,-0.1431,-0.14250000000000002,0.3932,-0.0974,1.0,6.0,25.0,75.0,55.0,5.0,4.0,9.0,8.0,70.0,30.0,2738.0,IPC
045LBB,-0.027800000000000005,0.0293,0.2223,-0.086,1.0,22.0,42.0,77.0,70.0,5.0,4.0,10.0,7.0,75.0,15.0,1709.0,IPC
046LBB,-0.09069999999999999,0.010099999999999998,0.2012,0.29910000000000003,1.0,22.0,41.0,77.0,55.0,5.0,4.0,10.0,8.0,67.5,32.5,2299.0,IPC
047LBB,0.04999999999999999,-0.010399999999999993,0.2103,0.5236000000000001,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,65.0,25.0,3501.0,IPC
04EB,-0.06540000000000001,0.1192,0.154,0.4946,1.0,3.0,22.0,76.0,53.0,5.0,4.0,10.0,8.0,78.33,16.67,3770.0,IPC
05EB,0.03849999999999999,0.0409,0.2697,0.0989,2.0,3.0,22.0,76.0,53.0,5.0,4.0,10.0,9.0,75.0,18.33,3920.0,IPC
06EB,-0.0023999999999999855,0.07680000000000001,-0.0954,0.0958,1.0,0.0,20.0,77.0,73.0,5.0,5.0,9.0,7.0,67.5,32.5,3053.0,IPC
07EB,-0.3574,-0.2156,-0.6185,-0.2018,1.0,5.0,25.0,77.0,70.0,5.0,5.0,9.0,8.0,62.5,32.5,4245.0,IPC
09EB,-0.016799999999999995,-0.03949999999999999,-0.058599999999999985,-0.008199999999999999,2.0,3.0,34.0,77.0,70.0,5.0,5.0,9.0,7.0,70.0,21.67,3291.0,IPC
010EB,-0.06310000000000002,0.0504,0.047499999999999994,-0.1211,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,58.33,35.0,3501.0,VOT
011EB,-0.09570000000000001,0.097,0.2994,0.28400000000000003,1.0,0.0,33.0,77.0,65.0,5.0,4.0,8.0,6.0,98.33,1.67,439.0,VOT
015EB,-0.1513,-0.0976,-0.17099999999999999,-0.21910000000000002,2.0,0.0,22.0,74.0,60.0,5.0,5.0,10.0,10.0,53.33,36.67,2218.0,VOT
016EB,-0.0887,0.0327,-0.008899999999999991,0.2139,2.0,2.0,20.0,77.0,71.0,5.0,4.0,9.0,8.0,60.0,42.0,3789.0,VOT
017EB,0.0415,0.03569999999999998,0.3201,0.4065,1.0,2.0,21.0,77.0,72.0,5.0,4.0,10.0,8.0,51.67,38.33,4481.0,VOT
018EB,0.1046,-0.07440000000000001,0.318,0.3609,1.0,3.0,22.0,71.0,68.0,5.0,5.0,10.0,10.0,83.33,15.0,2799.0,VOT
01EB,0.1508,-0.0725,0.0822,0.13679999999999998,2.0,1.0,36.0,77.0,60.0,5.0,4.0,8.0,7.0,65.0,13.33,1417.0,VOT
020EB,0.17830000000000001,-0.1179,0.1722,0.0055,2.0,2.0,25.0,75.0,61.0,5.0,4.0,9.0,9.0,55.0,26.67,1897.0,VOT
021EB,-0.126,0.05440000000000001,0.2679,0.0565,2.0,2.0,25.0,75.0,61.0,5.0,4.0,10.0,8.0,55.0,26.67,4189.0,VOT
023EB,0.0756,-0.0677,0.12769999999999998,0.0259,2.0,0.0,35.0,77.0,74.0,5.0,3.0,10.0,8.0,65.0,26.67,1720.0,VOT
024EB,0.0434,0.034399999999999986,0.3518,0.3929,1.0,2.0,29.0,77.0,58.0,5.0,4.0,10.0,9.0,76.67,23.33,3122.0,VOT
02EB,-0.1452,0.22790000000000002,0.22649999999999998,0.2956,1.0,0.0,23.0,77.0,70.0,5.0,5.0,10.0,8.0,63.33,18.33,2138.0,VOT
030LBB,-0.1116,-0.1199,0.2397,0.19369999999999998,1.0,8.0,22.0,75.0,65.0,5.0,5.0,10.0,9.0,55.0,37.5,2519.0,VOT
032LBB,-0.0826,0.004899999999999995,0.3468,0.2845,1.0,8.0,23.0,77.0,74.0,5.0,5.0,10.0,9.0,68.33,30.0,2860.0,VOT
033LBB,-0.024499999999999997,0.08030000000000001,0.1605,0.37029999999999996,1.0,26.0,37.0,77.0,45.0,5.0,4.0,9.0,8.0,60.0,3.0,3033.0,VOT
034LBB,0.03949999999999999,0.028,0.10569999999999999,-0.08249999999999999,2.0,6.0,24.0,77.0,72.0,5.0,3.0,10.0,7.0,83.33,20.0,292.0,VOT
035LBB,-0.0335,0.001899999999999985,0.38649999999999995,0.3167,1.0,14.0,44.0,77.0,77.0,5.0,5.0,10.0,8.0,60.0,38.33,3088.0,VOT
036LBB,0.06659999999999999,0.1832,0.1721,0.367,1.0,7.0,22.0,72.0,68.0,5.0,4.0,10.0,8.0,55.0,37.5,2518.0,VOT
037LBB,0.09889999999999999,-0.014300000000000007,0.2606,0.4903,2.0,24.0,39.0,75.0,55.0,5.0,4.0,10.0,7.0,80.0,15.0,531.0,VOT
038LBB,-0.039799999999999995,-0.022,0.23610000000000003,0.2942,1.0,16.0,37.0,77.0,77.0,5.0,5.0,10.0,8.0,68.33,25.0,1092.0,VOT
